id,created_at,text
828793888622178304,2017-02-07 02:33:55,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!
828641341949243392,2017-02-06 16:27:45,Will be interviewed on @oreillyfactor tonight at 8:00 P.M.
828575950514376705,2017-02-06 12:07:55,"I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!"
828574432234991617,2017-02-06 12:01:53,"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting."
828447351723397121,2017-02-06 03:36:55,"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!"
828375074327654400,2017-02-05 22:49:42,Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!
828344302686318592,2017-02-05 20:47:26,I will be interviewed by @oreillyfactor at 4:00 P.M. (prior to the #SuperBowl Pre-game Show) on Fox Network. Enjoy!
828343074266963968,2017-02-05 20:42:33,I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!
828342203776909313,2017-02-05 20:39:05,Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!
828042508231987200,2017-02-05 00:48:12,The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!
828039144718884866,2017-02-05 00:34:50,Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!
828024836949688320,2017-02-04 23:37:59,"Why aren't the lawyers looking at and using the Federal Court decision in Boston, which is at conflict with ridiculous lift ban decision?"
827996358476972040,2017-02-04 21:44:49,"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision"
827981080422645760,2017-02-04 20:44:07,"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?"
827885967797268482,2017-02-04 14:26:10,MAKE AMERICA GREAT AGAIN!
827874209166659584,2017-02-04 13:39:27,"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!"
827867312384520193,2017-02-04 13:12:02,"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!"
827715247846936577,2017-02-04 03:07:47,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!
827655064546312192,2017-02-03 23:08:39,"We must keep ""evil"" out of our country!"
827499872483938304,2017-02-03 12:51:58,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.
827483845490573312,2017-02-03 11:48:17,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!"
827482061133008896,2017-02-03 11:41:11,"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!"
827480387660181506,2017-02-03 11:34:32,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!
827478753517395969,2017-02-03 11:28:03,"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!"
827477948873728000,2017-02-03 11:24:51,"Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!"
827119327996436480,2017-02-02 11:39:49,Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion
827118014164303872,2017-02-02 11:34:36,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!
827115769884508160,2017-02-02 11:25:41,Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!
827113927700000768,2017-02-02 11:18:22,Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!
827112634549927938,2017-02-02 11:13:13,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?
827002560217247744,2017-02-02 03:55:49,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!
826990081344937984,2017-02-02 03:06:14,Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!
826774670498217986,2017-02-01 12:50:16,"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!"
826637558377545731,2017-02-01 03:45:26,"Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all."
826588659805728769,2017-02-01 00:31:08,Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M.
826391335414484992,2017-01-31 11:27:02,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!
826390035989659649,2017-01-31 11:21:52,Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!
826229972947836932,2017-01-31 00:45:50,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.
826063269265825792,2017-01-30 13:43:25,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.)
826060145360830464,2017-01-30 13:31:00,"If the ban were announced with a one week notice, the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!"
826044061199040513,2017-01-30 12:27:06,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!
826042485155704832,2017-01-30 12:20:50,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!
826041399002947584,2017-01-30 12:16:31,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,....."
825823218355286017,2017-01-29 21:49:32,"...Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III."
825721154597945344,2017-01-29 15:03:59,Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!
825692048686739460,2017-01-29 13:08:19,"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!"
825690089720254466,2017-01-29 13:00:32,Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!
825331667187400708,2017-01-28 13:16:18,"...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course, and never will. DISHONEST"
825329759299203074,2017-01-28 13:08:43,Thr coverage about me in the @nytimes and the @washingtonpost gas been so false and angry that the times actually apologized to its.....
825328819728965632,2017-01-28 13:04:59,"The failing @nytimes has been wrong about me from the very beginning. Said I would lose the primaries, then the general election. FAKE NEWS!"
